id,label,content,event_label,if_marked_label
4.98e+17,0.0,Black teenage boys are not men. They are children. Stop referring to a 17 year old as a man. You are killing children. #ferguson,1,1
4.98e+17,0.0,The mother of the boy killed in #Ferguson speaking to media about the loss of her son. http://t.co/YlxEDKoebB,1,1
4.98e+17,0.0,Police have brought out the large gear in #Ferguson. http://t.co/2gxUzOvwfy,1,1
4.98e+17,0.0,"Omg Wow ""@FLOCKAfierce: WOW RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/4t4RRtNWRk""",1,1
4.98e+17,0.0,"When you see citizens as enemies... RT @AntonioFrench: Police have brought out the large gear in #Ferguson. http://t.co/xTwwfXC8zy""",1,1
4.98e+17,0.0,Police of #Ferguson murdered a boy in cold blood. Now they're spinning the story &amp; intimidating the community into silence.,1,1
4.98e+17,0.0,Here?????????s to hoping what?????????s happening in STL right now doesn?????????t get worse. #Ferguson hashtag not looking good right now. http://t.co/0fhU5EopGa,1,1
4.98e+17,0.0,"When you are black &amp; the victim of a crime, people will dig up something you did in kindergarten to justify what happened to you. #Ferguson",1,1
4.98e+17,0.0,Patrol cars still flood the streets in #ferguson more than 6 hours after police officer shot teenager @ksdknews http://t.co/fCCGAfIRbG,1,1
4.98e+17,0.0,"America doesn't think we're human, the world doesn't think we're human, and cops don't get punished for killing us for no reason. #ferguson",1,1
4.98e+17,0.0,"Another day, another shooting of an unarmed black teenager in America by authority figures. #STL #Ferguson",1,1
4.98e+17,0.0,People are now matching to the #Ferguson Police Dept headquarters. http://t.co/4KEsby2ZPj,1,1
4.98e+17,0.0,Being Black in this country is dangerous business. #Ferguson,1,1
4.98e+17,0.0,People marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy. http://t.co/ROvs3mXYMM,1,1
4.98e+17,0.0,Many police officers today operate from fear and prejudice. That's dangerous when you have the power to take a life. #Ferguson,1,1
4.98e+17,0.0,"The #Ferguson shooting shows that being passive leads 2 more injustice. If a Black cop shot an unarmed white teen, Ferguson would be on fire",1,1
4.98e+17,0.0,"Police aren't being taught to protect and serve anymore. They are being taught to shoot first, explain later. #ferguson",1,1
4.98e+17,0.0,"Yes @stltoday describe people protesting police officer killing Michael Brown as ""mob"". Then, edit, ""crowd"" #ferguson http://t.co/xG3Hm8JLWy",1,1
4.98e+17,0.0,"#WeAreTargets: People marching to the #Ferguson Police Dept headquarters following the killing of a 17-year-old boy http://t.co/wFTR1maej7""",1,1
4.98e+17,0.0,"This is not a ""black"" loss. This is a loss for America, and everyone should be concerned, outraged &amp; involved. #Ferguson",1,1
4.98e+17,0.0,"If Michael Brown had been white, @stltoday would have described crowd not as a ""mob"", but as a 'heartbroken community'. #Ferguson",1,1
4.98e+17,0.0,calling the neighbors a mob = dehumanizing a community to justify all future wrongdoing. #mikebrown #ferguson,1,1
4.98e+17,0.0,call weeping neighbors a mob --&gt; paint a picture of a violent community #MikeBrown came from --&gt; justify his execution #Ferguson,1,1
4.98e+17,0.0,"So would that ""angry mob"" in #Ferguson also qualify as ""concerned citizens""? What's the difference, skin color? #justice4all",1,1
4.98e+17,0.0,"Unfollow me NOW if you're like ""Why was he running?"" or tweeting ANY justification 4 the murder of #MikeBrown by #Ferguson cops.",1,1
4.98e+17,0.0,"PAY ATTENTION as ""teen"" becomes ""man,"" ""community"" becomes ""mob,"" and ""murder"" becomes ""alleged shooting."" #Ferguson #medialiteracy",1,1
4.98e+17,0.0,"Reminder that this is legal, but young unarmed black men are threatening and make us ""uncomfortable""  #Ferguson http://t.co/VbRyW7J9nR",1,1
4.98e+17,0.0,Interview with mother of victim. The police wouldn't let her ID her own son http://t.co/jUonPxq4TW #Ferguson,1,1
4.98e+17,0.0,Police murder another unarmed 17 yr old blk kid &amp; police show up like this. I can't take it! #Ferguson #WeAreTargets http://t.co/RuZ8YAgGPr,1,1
4.98e+17,0.0,"To all white ppl horrified by #Ferguson: go to police, school board, &amp; mayor and teach how anti-blackness kills. They don't listen to us.",1,1
4.98e+17,0.0,"The mother of #MikeBrown, the 17-year-old killed by #Ferguson police today, says her son was about to start at Vatterott College next week.",1,1
4.98e+17,,: Teenager #MikeBrown won't start college on Monday because he was shot ten times by a #Ferguson police officer. http://t.co/dCFmzlkFRD????????Sun Aug 10 01:07:51 +0000 2014,1,1
4.98e+17,0.0,How many unarmed black teenagers will be killed in America? #ThatIsTheQuestion#Ferguson http://t.co/5L8043MSaP,1,1
4.98e+17,0.0,"""The 18 year old victim had no weapon and his hands in the air and was still shot multiple times."" https://t.co/kTIEq8TkkC #Ferguson",1,1
4.98e+17,0.0,Mike Brown was to start studying at Vatterott College on Monday. #Ferguson,1,1
4.98e+17,0.0,"Notice it's ""involved in the shooting"" not ""killed a child."" Notice it's ""paid administrative leave"" not ""has been arrested""#Ferguson",1,1
4.98e+17,0.0,The police officer who killed Mike Brown has been put on paid administrative leave. #Ferguson,1,1
4.98e+17,0.0,Michael Brown was due to begin classes at Vatterott College tomorrow.His mother mourns his loss:#Ferguson http://t.co/YMSK7Skp9y,1,1
4.98e+17,0.0,"Multiple witnesses have told the media in #Ferguson, that Mike Brown had his hands up when he was shot ""multiple"" times by police officer.",1,1
4.98e+17,0.0,"Black bodies are no longer swinging from trees, they are laying on the streets.  #Ferguson #detriot #oakland #nyc #usa",1,1
4.98e+17,0.0,Michael Brown was supposed to start classes at Vatterott College on Monday. Instead gunned down in street by #Ferguson police.,1,1
4.98e+17,0.0,"Favorite this now: In the next week, we will hear about EVERY transgression #MikeBrown has ever had since soiling his diapers. #Ferguson",1,1
4.98e+17,0.0,Teenager #MikeBrown won't start college on Monday because he was shot ten times by a #Ferguson police officer. http://t.co/A4RJS4unlx,1,1
4.98e+17,0.0,People are gathering at the site where #Ferguson police killed 17-year-old #MikeBrown. Police have swarmed the area. http://t.co/NlqbthTiAc,1,1
4.98e+17,0.0,The police presence in #Ferguson following the shooting of Michael Brown was mind blowing. http://t.co/UGdNcWtpbH,1,1
4.98e+17,0.0,Rose petals and candles have been placed in the street where #MikeBrown's body laid. #Ferguson http://t.co/kCn4dHqNwQ,1,1
4.98e+17,0.0,"People in the street shouting ""No Justice, No Peace"" and blocking a Kinloch police car from passing. #Ferguson http://t.co/7jp4rqT4G6",1,1
4.98e+17,0.0,Rest in Peace Mike Brown. #Ferguson,1,1
4.98e+17,0.0,The crowd has forced the police car to reverse. #ferguson https://t.co/B9YqGhq0hZ,1,1
4.98e+17,0.0,"America: Where an unarmed black teen gunned to death by the cops isn't seen as a victim, but a white kid on a shooting spree is. #Ferguson",1,1
4.98e+17,0.0,They've brought the dogs out in #Ferguson https://t.co/gXQeLtaXjt,1,1
4.98e+17,0.0,"An unarmed 17 year old kid shot 10 times &amp; once in the HEAD?!?!Not sure how you can ""spin that"".#Ferguson",1,1
4.98e+17,0.0,#Ferguson Regardless of what color you are; the militarized police response here is BONECHILLING http://t.co/uumztSc6c8,1,1
4.98e+17,0.0,#Ferguson police have brought dogs into neighborhood. Residents protest with hands in the air. Tension is growing... http://t.co/BxYIsHHjnE,1,1
4.98e+17,0.0,Things are getting very tense in #Ferguson. https://t.co/2pDUHAR2B7,1,1
4.98e+17,0.0,"Someone remind me what year it is again. Cops shoot unarmed young man then bring the dogs out to ""handle"" the crowd. #Ferguson #MikeBrown",1,1
4.98e+17,0.0,"Right now in #Ferguson, MO following the killing of 17-year-old #MikeBrown http://t.co/caqdthrkq0",1,1
4.98e+17,0.0,The only reason those cops haven't gone all Selma on the people in #Ferguson is because the cameras are rolling. That's it.,1,1
4.98e+17,0.0,"Rest in Peace, Michael Brown. 17 forever.#Ferguson http://t.co/fMq9mJRwtL",1,1
4.98e+17,0.0,Awful. RT @AntonioFrench #Ferguson Police have dogs and shotguns. The unarmed crowd is raising their hands. https://t.co/OFXxJLuDtj,1,1
